"WORD","TYPE_NR"
"Frenkas","1"
"Freudas","1"
"Fridrikas","1"
"Fridtjofas","1"
"Friedrich","1"
"Friedrichas","1"
"Froidas","1"
"Fromas","1"
"Fromm","1"
"Frommas","1"
"Frost","1"
"Frydrichas","1"
"Fuji","1"
"GGĮ","2"
"Gabrielis","1"
"Gabrielius","1"
"Gabrulevičius","1"
"Gadliauskienė","1"
"Gaigalas","1"
"Gailitas","1"
"Gaižiūnai","1"
"Gaižiūnas","1"
"Gajauskas","1"
"Galanter","1"
"Galdikas","1"
"Galen","1"
"Galilėjus","1"
"Galičas","1"
"Gamatonas","1"
"Gambro","1"
"Gantas","1"
"Gaonas","1"
"Gapšys","1"
"Garbaliauskas","1"
"Garbo","1"
"Gardinas","1"
"Garetas","1"
"Gargždai","1"
"Garliava","1"
"Garpas","1"
"Gastejevas","1"
"Gatartas","1"
"Gaudinas","1"
"Gautama","1"
"Gawlina","1"
"Gaza","1"
"Gazietis","1"
"Gdanskas","1"
"Gebrselasis","1"
"Geda","1"
"Gedgaudas","1"
"Gediminaitis","1"
"Gediminas","1"
"Gedrimas","1"
"Gegelis","1"
"Gembinė","1"
"Genadijus","1"
"Genovaitė","1"
"Gentvilas","1"
"Genzelis","1"
"Genė","1"
"Georgas","1"
"George","1"
"Gerhardas","1"
"Gerlicas","1"
"Germanas","1"
"Germanienė","1"
"Germantas","1"
"Gerulaitis","1"
"Gervėčiai","1"
"Gesta","1"
"Gezelijus","1"
"Gečas","1"
"Gi","1"
"Giedraitis","1"
"Giedraičiai","1"
"Giedrius","1"
"Giedrys","1"
"Giedrė","1"
"Giestė","1"
"Gilbreth","1"
"Gilija","1"
"Gilis","1"
"Gimbutienė","1"
"Giniotas","1"
"Gintaras","1"
"Gintautas","1"
"Gintė","1"
"Giordano","1"
"Girdenienė","1"
"Girdenis","1"
"Girininkai","1"
"Girionys","1"
"Girnius","1"
"Girėnas","1"
"Giržadas","1"
"Gita","1"
"Giuliano","1"
"Giuntas","1"
"Giunteris","1"
"Glaveckas","1"
"Glorija","1"
"Godelis","1"
"Gogelis","1"
"Gogolis","1"
"Goldstounas","1"
"Golf","1"
"Golfas","1"
"Golis","1"
"Golubevas","1"
"Gongadzė","1"
"Gorbačiovas","1"
"Gotfrydas","1"
"Gotlandas","1"
"Goštautas","1"
"Grabnickas","1"
"Graikija","1"
"Graičiūnas","1"
"Granauskas","1"
"Grasas","1"
"Gražina","1"
"Gražulis","1"
"Gražvydas","1"
"Greimas","1"
"Greitis","1"
"Grenlandija","1"
"Greta","1"
"Grigalius","1"
"Grigas","1"
"Grigiškės","1"
"Grigorijus","1"
"Grikienis","1"
"Grimas","1"
"Grinius","1"
"Griniuvienė","1"
"Grinvičas","1"
"Griša","1"
"Griškabūdis","1"
"Grodekas","1"
"Grosas","1"
"Grubys","1"
"Gruntvigas","1"
"Gruodis","1"
"Gruzija","1"
"Grybas","1"
"Grygas","1"
"Gryta","1"
"Gudaitis","1"
"Gudauskienė","1"
"Gudavičius","1"
"Gudelevičienė","1"
"Gudelis","1"
"Guna","1"
"Gunaras","1"
"Guno","1"
"Gurevičius","1"
"Gustaitytė","1"
"Gustas","1"
"Gutauskas","1"
"Gutorovas","1"
"Gučas","1"
"Gvinėja","1"
"Gylys","1"
"Gėtė","1"
"Hadsonas","1"
"Haga","1"
"Haifa","1"
"Haladis","1"
"Halifaksas","1"
"Hallahmi","1"
"Halle","1"
"Hallen","1"
"Hamas","1"
"Hamburgas","1"
"Hamletas","1"
"Hamsunas","1"
"Hanibalas","1"
"Hanlė","1"
"Hannover","1"
"Hans","1"
"Hansabankas","1"
"Hansapank","1"
"Hanza","1"
"Hanzenas","1"
"Hapoel","1"
"Hara","1"
"Haraldas","1"
"Harbigas","1"
"Hardas","1"
"Hare","1"
"Haris","1"
"Haroldas","1"
"Harvardas","1"
"Harė","1"
"Hassan","1"
"Hassen","1"
"Hatskelas","1"
"Hauptmanas","1"
"Havajai","1"
"Hawkinsas","1"
"Haynes","1"
"Heaney","1"
"Hegelis","1"
"Heideggeris","1"
"Heidelbergas","1"
"Heinrichas","1"
"Hektoras","1"
"Helen","1"
"Helmut","1"
"Helmutas","1"
"Helsinkis","1"
"Henri","1"
"Henrikas","1"
"Henris","1"
"Henry","1"
"Henytė","1"
"Heraklis","1"
"Herbačiauskas","1"
"Herbert","1"
"Herbertas","1"
"Hercegovina","1"
"Herderis","1"
"Hermanas","1"
"Herzbergas","1"
"Hidroprojektas","1"
"Hijuma","1"
"Hildė","1"
"Himalajai","1"
"Hintas","1"
"Hipatijus","1"
"Hipp","1"
